Year,Quarter,Bricks
1956,1,189
1956,2,204
1956,3,208
1956,4,197
1957,1,187
1957,2,214
1957,3,227
1957,4,223
1958,1,199
1958,2,229
1958,3,249
1958,4,234
1959,1,208
1959,2,253
1959,3,267
1959,4,255
1960,1,242
1960,2,268
1960,3,290
1960,4,277
1961,1,241
1961,2,253
1961,3,265
1961,4,236
1962,1,229
1962,2,265
1962,3,275
1962,4,258
1963,1,231
1963,2,263
1963,3,308
1963,4,313
1964,1,293
1964,2,328
1964,3,349
1964,4,340
1965,1,309
1965,2,349
1965,3,366
1965,4,340
1966,1,302
1966,2,350
1966,3,362
1966,4,337
1967,1,326
1967,2,358
1967,3,359
1967,4,357
1968,1,341
1968,2,380
1968,3,404
1968,4,409
1969,1,383
1969,2,417
1969,3,454
1969,4,428
1970,1,386
1970,2,428
1970,3,434
1970,4,417
1971,1,385
1971,2,433
1971,3,453
1971,4,436
1972,1,399
1972,2,461
1972,3,476
1972,4,477
1973,1,452
1973,2,461
1973,3,534
1973,4,516
1974,1,478
1974,2,526
1974,3,518
1974,4,417
1975,1,340
1975,2,437
1975,3,459
1975,4,449
1976,1,424
1976,2,501
1976,3,540
1976,4,533
1977,1,457
1977,2,513
1977,3,522
1977,4,478
1978,1,421
1978,2,487
1978,3,470
1978,4,482
1979,1,458
1979,2,526
1979,3,573
1979,4,563
1980,1,513
1980,2,551
1980,3,589
1980,4,564
1981,1,519
1981,2,581
1981,3,581
1981,4,578
1982,1,500
1982,2,560
1982,3,512
1982,4,412
1983,1,303
1983,2,409
1983,3,420
1983,4,413
1984,1,400
1984,2,469
1984,3,482
1984,4,484
1985,1,447
1985,2,507
1985,3,533
1985,4,503
1986,1,443
1986,2,503
1986,3,505
1986,4,443
1987,1,415
1987,2,485
1987,3,495
1987,4,458
1988,1,427
1988,2,519
1988,3,555
1988,4,539
1989,1,511
1989,2,572
1989,3,570
1989,4,526
1990,1,472
1990,2,524
1990,3,497
1990,4,460
1991,1,373
1991,2,436
1991,3,424
1991,4,430
1992,1,387
1992,2,413
1992,3,451
1992,4,420
1993,1,394
1993,2,462
1993,3,476
1993,4,443
1994,1,421
1994,2,472
1994,3,494
